"BehaviorSpace results (NetLogo 5.3)"
"Bees.nlogo"
"resource_nums"
"02/16/2016 16:29:37:581 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-500","500","-500","500"
"[run number]","resource_density","patchiness","c1_mult","c2_mult","calc_R","[step]","num-patches-r","count patches with [resource?]"
"296","""sparse""","1","161","201","false","1","44.532888","50"
"297","""sparse""","1","161","201","false","1","44.532888","49"
"298","""sparse""","1","161","201","false","1","44.532888","44"
"300","""sparse""","1","161","201","false","1","44.532888","44"
"301","""sparse""","1","201","1","false","1","44.532888","34"
"299","""sparse""","1","161","201","false","1","44.532888","51"
"303","""sparse""","1","201","1","false","1","44.532888","41"
"302","""sparse""","1","201","1","false","1","44.532888","54"
"304","""sparse""","1","201","1","false","1","44.532888","35"
"305","""sparse""","1","201","1","false","1","44.532888","40"
"307","""sparse""","1","201","1","false","1","44.532888","44"
"306","""sparse""","1","201","1","false","1","44.532888","42"
"308","""sparse""","1","201","1","false","1","44.532888","51"
"309","""sparse""","1","201","1","false","1","44.532888","41"
"310","""sparse""","1","201","1","false","1","44.532888","50"
"312","""sparse""","1","201","41","false","1","44.532888","39"
"313","""sparse""","1","201","41","false","1","44.532888","47"
"311","""sparse""","1","201","41","false","1","44.532888","53"
"314","""sparse""","1","201","41","false","1","44.532888","44"
"316","""sparse""","1","201","41","false","1","44.532888","50"
"315","""sparse""","1","201","41","false","1","44.532888","42"
"318","""sparse""","1","201","41","false","1","44.532888","48"
"317","""sparse""","1","201","41","false","1","44.532888","51"
"319","""sparse""","1","201","41","false","1","44.532888","47"
"320","""sparse""","1","201","41","false","1","44.532888","49"
"321","""sparse""","1","201","81","false","1","44.532888","45"
"322","""sparse""","1","201","81","false","1","44.532888","36"
"323","""sparse""","1","201","81","false","1","44.532888","36"
"324","""sparse""","1","201","81","false","1","44.532888","59"
"325","""sparse""","1","201","81","false","1","44.532888","44"
"327","""sparse""","1","201","81","false","1","44.532888","44"
"328","""sparse""","1","201","81","false","1","44.532888","41"
"326","""sparse""","1","201","81","false","1","44.532888","46"
"329","""sparse""","1","201","81","false","1","44.532888","53"
"330","""sparse""","1","201","81","false","1","44.532888","54"
"331","""sparse""","1","201","121","false","1","44.532888","38"
"332","""sparse""","1","201","121","false","1","44.532888","48"
"333","""sparse""","1","201","121","false","1","44.532888","43"
"334","""sparse""","1","201","121","false","1","44.532888","58"
"335","""sparse""","1","201","121","false","1","44.532888","50"
"336","""sparse""","1","201","121","false","1","44.532888","38"
"338","""sparse""","1","201","121","false","1","44.532888","44"
"337","""sparse""","1","201","121","false","1","44.532888","41"
"339","""sparse""","1","201","121","false","1","44.532888","41"
"340","""sparse""","1","201","121","false","1","44.532888","43"
"341","""sparse""","1","201","161","false","1","44.532888","48"
"342","""sparse""","1","201","161","false","1","44.532888","43"
"343","""sparse""","1","201","161","false","1","44.532888","51"
"344","""sparse""","1","201","161","false","1","44.532888","45"
"345","""sparse""","1","201","161","false","1","44.532888","44"
"347","""sparse""","1","201","161","false","1","44.532888","31"
"346","""sparse""","1","201","161","false","1","44.532888","45"
"348","""sparse""","1","201","161","false","1","44.532888","43"
"349","""sparse""","1","201","161","false","1","44.532888","44"
"350","""sparse""","1","201","161","false","1","44.532888","45"
"351","""sparse""","1","201","201","false","1","44.532888","40"
